Employee_ID,Story_ID,Is_Anomaly,Role,Employee Type,Initial Salary Agreement,CFO Approval,Employee Hire Date,Employee Handbook Acknowledged,2FA Setup,Security Training Completed,Manager Meeting Scheduled,Email Sent to HR,Remote Access VPN Log,Client Contract Signed,Client Product Activation,Finance Confirmation Document,Finance Confirmation Document Transaction Date,Finance Confirmation Document Effective Date,Help Desk Ticket Submitted,Expense Report Filed,Leave Request Submitted,Leave Request Submitted Transaction Date,Leave Request Submitted Effective Date,Changed Direct Deposit Info,Changed Direct Deposit Info Transaction Date,Changed Direct Deposit Info Effective Date,First Large Commission,First Large Commission Transaction Date,First Large Commission Effective Date,First Regular Commission,First Regular Commission Transaction Date,First Regular Commission Effective Date,Payroll Adjustment Form,Payroll Adjustment Form Transaction Date,Payroll Adjustment Form Effective Date,W-4 Begin Date,W-4 Issuance Date,Employee Termination Date,Employee Termination Date Transaction Date,Employee Termination Date Effective Date
E011,S003,false,Remote HR Assistant,Remote,2020-01-03,,2020-01-24,2020-01-27,2020-01-28,2020-02-09,2020-01-31,,,,,2020-01-26,2020-02-03,2020-01-25,,,2020-03-31,2020-04-18,2020-03-31,,,,2020-02-05,2020-02-23,2020-02-04,2020-02-15,2020-03-02,2020-02-15,2020-02-20,2020-02-29,2020-02-18,2020-01-26,2020-02-25,,,
E012,S002,false,Remote Tech Support,Remote,2019-12-25,,2020-01-17,2020-01-18,2020-01-18,2020-01-22,2020-01-26,,2020-02-07,,,2020-01-19,2020-01-30,2020-01-19,2020-01-26,,,,,,,,2020-01-29,2020-02-17,2020-01-28,2020-02-08,2020-02-23,2020-02-08,2020-02-13,2020-02-19,2020-02-12,2020-01-19,2020-02-18,,,
E013,S004,false,Remote Contractor,Remote,2019-12-22,2020-01-08,2020-01-20,,,,,,,2020-01-23,2020-01-28,2020-01-30,2020-02-06,2020-01-29,,,,,,,,,2020-02-09,2020-02-15,2020-02-09,2020-02-19,2020-03-03,2020-02-21,2020-02-24,2020-03-15,2020-02-26,2020-01-22,2020-02-21,,,
E014,S003,false,Remote HR Assistant,Remote,2019-12-19,,2020-01-18,2020-01-21,2020-01-23,2020-01-29,2020-01-28,,,,,2020-01-20,2020-02-01,2020-01-19,,,2020-04-15,2020-04-30,2020-04-16,,,,2020-01-30,2020-02-16,2020-01-30,2020-02-09,2020-02-14,2020-02-11,2020-02-14,2020-02-21,2020-02-15,2020-01-20,2020-02-19,,,
E015,S003,false,Remote HR Assistant,Remote,2020-01-05,,2020-01-25,2020-01-26,2020-01-29,2020-02-08,2020-02-02,,,,,2020-01-27,2020-02-03,2020-01-26,,,2020-03-30,2020-04-07,2020-03-31,,,,2020-02-06,2020-02-17,2020-02-07,2020-02-16,2020-02-27,2020-02-14,2020-02-21,2020-03-10,2020-02-23,2020-01-27,2020-02-26,,,
E016,S004,false,Remote Contractor,Remote,2019-12-06,2019-12-22,2020-01-01,,,,,,,2020-01-05,2020-01-07,2020-01-09,2020-01-14,2020-01-10,,,,,,,,,2020-01-19,2020-02-03,2020-01-19,2020-01-29,2020-02-10,2020-01-30,2020-02-03,2020-02-14,2020-02-04,2020-01-03,2020-02-02,,,
E017,S003,false,Remote HR Assistant,Remote,2020-01-07,,2020-01-27,2020-01-30,2020-02-01,2020-02-09,2020-02-02,,,,,2020-01-29,2020-02-17,2020-01-31,,,2020-04-07,2020-04-18,2020-04-07,,,,2020-02-08,2020-02-25,2020-02-08,2020-02-18,2020-03-09,2020-02-20,2020-02-23,2020-03-14,2020-02-24,2020-01-29,2020-02-28,,,
E018,S002,false,Remote Tech Support,Remote,2019-12-27,,2020-01-18,2020-01-20,2020-01-19,2020-01-24,2020-01-30,,2020-01-22,,,2020-01-20,2020-02-09,2020-01-20,2020-01-23,,,,,,,,2020-01-30,2020-02-17,2020-01-30,2020-02-09,2020-02-21,2020-02-10,2020-02-14,2020-02-26,2020-02-13,2020-01-20,2020-02-19,2020-03-05,2020-03-12,2020-03-06
E019,S003,false,Remote HR Assistant,Remote,2019-12-09,,2020-01-08,2020-01-11,2020-01-11,2020-01-19,2020-01-13,,,,,2020-01-10,2020-01-16,2020-01-09,,,2020-03-31,2020-04-06,2020-04-01,,,,2020-01-20,2020-01-27,2020-01-21,2020-01-30,2020-02-19,2020-01-31,2020-02-04,2020-02-09,2020-02-02,2020-01-10,2020-02-09,,,
E020,S004,false,Remote Contractor,Remote,2019-12-29,2020-01-15,2020-01-27,,,,,,,2020-01-31,2020-02-02,2020-02-04,2020-02-18,2020-02-04,,,,,,,,,2020-02-14,2020-02-19,2020-02-16,2020-02-24,2020-02-29,2020-02-22,2020-02-29,2020-03-18,2020-02-28,2020-01-29,2020-02-28,,,
E021,S002,false,Remote Tech Support,Remote,2019-12-18,,2020-01-09,2020-01-11,2020-01-12,2020-01-14,2020-01-19,,2020-02-03,,,2020-01-11,2020-01-30,2020-01-09,2020-01-31,,,,,,,,2020-01-21,2020-01-27,2020-01-21,2020-01-31,2020-02-14,2020-01-30,2020-02-05,2020-02-15,2020-02-07,2020-01-11,2020-02-10,,,
E022,S003,false,Remote HR Assistant,Remote,2019-12-24,,2020-01-13,2020-01-15,2020-01-18,2020-01-30,2020-01-22,,,,,2020-01-15,2020-01-27,2020-01-15,,,2020-03-27,2020-04-01,2020-03-29,,,,2020-01-25,2020-02-06,2020-01-23,2020-02-04,2020-02-21,2020-02-03,2020-02-09,2020-02-28,2020-02-07,2020-01-15,2020-02-14,2020-02-29,2020-03-20,2020-02-27
E023,S001,false,Remote Sales Associate,Remote,2019-12-12,,2020-01-08,2020-01-10,2020-01-10,2020-01-15,2020-01-27,,2020-03-30,2020-01-21,2020-01-21,2020-01-23,2020-02-03,2020-01-24,2020-01-30,2020-02-07,2020-02-29,2020-03-11,2020-02-29,,,,2020-02-02,2020-02-08,2020-01-31,2020-02-12,2020-02-26,2020-02-14,2020-02-17,2020-02-29,2020-02-15,2020-01-10,2020-02-09,,,
E024,S001,false,Remote Sales Associate,Remote,2019-12-10,,2020-01-08,2020-01-10,2020-01-10,2020-01-15,2020-01-26,,2020-01-26,2020-01-16,2020-01-22,2020-01-24,2020-02-01,2020-01-26,2020-02-07,2020-02-13,2020-03-15,2020-04-02,2020-03-13,,,,2020-02-03,2020-02-15,2020-02-02,2020-02-13,2020-02-29,2020-02-14,2020-02-18,2020-03-08,2020-02-17,2020-01-10,2020-02-09,,,
E025,S004,false,Remote Contractor,Remote,2019-12-16,2019-12-29,2020-01-08,,,,,,,2020-01-11,2020-01-14,2020-01-16,2020-01-28,2020-01-15,,,,,,,,,2020-01-26,2020-01-31,2020-01-28,2020-02-05,2020-02-21,2020-02-06,2020-02-10,2020-02-29,2020-02-12,2020-01-10,2020-02-09,,,
E026,S004,false,Remote Contractor,Remote,2019-12-19,2019-12-23,2020-01-12,,,,,,,2020-01-15,2020-01-20,2020-01-22,2020-02-04,2020-01-21,,,,,,,,,2020-02-01,2020-02-10,2020-01-31,2020-02-11,2020-02-26,2020-02-11,2020-02-16,2020-03-02,2020-02-17,2020-01-14,2020-02-13,,,
E027,S004,false,Remote Contractor,Remote,2019-12-30,2020-01-12,2020-01-24,,,,,,,2020-01-24,2020-01-30,2020-02-01,2020-02-08,2020-01-30,,,,,,,,,2020-02-11,2020-02-20,2020-02-12,2020-02-21,2020-03-11,2020-02-21,2020-02-26,2020-03-15,2020-02-28,2020-01-26,2020-02-25,,,
E028,S004,false,Remote Contractor,Remote,2019-12-12,2019-12-17,2020-01-05,,,,,,,2020-01-06,2020-01-12,2020-01-14,2020-01-24,2020-01-14,,,,,,,,,2020-01-24,2020-02-01,2020-01-26,2020-02-03,2020-02-17,2020-02-03,2020-02-08,2020-02-27,2020-02-07,2020-01-07,2020-02-06,,,
E029,S004,false,Remote Contractor,Remote,2020-01-04,2020-01-07,2020-01-26,,,,,,,2020-01-26,2020-01-31,2020-02-02,2020-02-16,2020-02-03,,,,,,,,,2020-02-12,2020-02-23,2020-02-13,2020-02-22,2020-03-05,2020-02-20,2020-02-27,2020-03-18,2020-02-28,2020-01-28,2020-02-27,,,
E030,S002,false,Remote Tech Support,Remote,2019-12-13,,2020-01-06,2020-01-08,2020-01-08,2020-01-11,2020-01-13,,2020-02-04,,,2020-01-08,2020-01-16,2020-01-09,2020-01-23,,,,,,,,2020-01-18,2020-01-31,2020-01-18,2020-01-28,2020-02-08,2020-01-28,2020-02-02,2020-02-15,2020-02-01,2020-01-08,2020-02-07,,,
E031,S002,false,Remote Tech Support,Remote,2019-12-14,,2020-01-13,2020-01-15,2020-01-15,2020-01-19,2020-01-27,,2020-01-27,,,2020-01-15,2020-01-29,2020-01-16,2020-01-27,,,,,,,,2020-01-25,2020-02-04,2020-01-27,2020-02-04,2020-02-12,2020-02-06,2020-02-09,2020-02-22,2020-02-11,2020-01-15,2020-02-14,,,
E032,S002,false,Remote Tech Support,Remote,2019-12-12,,2020-01-07,2020-01-08,2020-01-08,2020-01-14,2020-01-14,,2020-01-25,,,2020-01-09,2020-01-22,2020-01-11,2020-02-04,,,,,,,,2020-01-19,2020-01-27,2020-01-18,2020-01-29,2020-02-08,2020-01-28,2020-02-03,2020-02-23,2020-02-02,2020-01-09,2020-02-08,,,
E033,S003,false,Remote HR Assistant,Remote,2019-12-03,,2020-01-02,2020-01-04,2020-01-07,2020-01-20,2020-01-11,,,,,2020-01-04,2020-01-24,2020-01-05,,,2020-03-07,2020-03-22,2020-03-09,,,,2020-01-14,2020-01-28,2020-01-12,2020-01-24,2020-02-04,2020-01-25,2020-01-29,2020-02-11,2020-01-30,2020-01-04,2020-02-03,,,
E034,S001,false,Remote Sales Associate,Remote,2020-01-09,,2020-01-31,2020-02-01,2020-02-02,2020-02-07,2020-02-19,,2020-04-14,2020-02-06,2020-02-20,2020-02-22,2020-02-29,2020-02-24,2020-02-22,2020-03-13,2020-03-24,2020-04-08,2020-03-22,,,,2020-03-03,2020-03-08,2020-03-03,2020-03-13,2020-03-26,2020-03-15,2020-03-18,2020-03-25,2020-03-18,2020-02-02,2020-03-03,,,
E035,S002,false,Remote Tech Support,Remote,2019-12-29,,2020-01-19,2020-01-20,2020-01-20,2020-01-25,2020-01-31,,2020-02-07,,,2020-01-21,2020-01-27,2020-01-22,2020-02-14,,,,,,,,2020-01-31,2020-02-17,2020-02-01,2020-02-10,2020-02-24,2020-02-08,2020-02-15,2020-02-27,2020-02-15,2020-01-21,2020-02-20,,,
E036,S003,false,Remote HR Assistant,Remote,2019-12-18,,2020-01-07,2020-01-09,2020-01-12,2020-01-20,2020-01-14,,,,,2020-01-09,2020-01-24,2020-01-11,,,2020-03-19,2020-04-02,2020-03-21,,,,2020-01-19,2020-01-30,2020-01-17,2020-01-29,2020-02-09,2020-01-29,2020-02-03,2020-02-18,2020-02-03,2020-01-09,2020-02-08,,,
E037,S002,false,Remote Tech Support,Remote,2020-01-02,,2020-01-22,2020-01-24,2020-01-24,2020-01-28,2020-01-30,,2020-02-21,,,2020-01-24,2020-02-06,2020-01-22,2020-02-20,,,,,,,,2020-02-03,2020-02-15,2020-02-01,2020-02-13,2020-02-25,2020-02-13,2020-02-18,2020-02-25,2020-02-17,2020-01-24,2020-02-23,,,
E038,S001,false,Remote Sales Associate,Remote,2019-12-25,,2020-01-15,2020-01-16,2020-01-19,2020-01-22,2020-02-02,,2020-03-01,2020-01-23,2020-02-02,2020-02-04,2020-02-11,2020-02-03,2020-02-07,2020-02-18,2020-04-03,2020-04-17,2020-04-04,,,,2020-02-14,2020-02-28,2020-02-16,2020-02-24,2020-03-05,2020-02-24,2020-02-29,2020-03-09,2020-02-28,2020-01-17,2020-02-16,,,
E039,S001,false,Remote Sales Associate,Remote,2020-01-02,,2020-01-29,2020-01-31,2020-02-01,2020-02-06,2020-02-15,,2020-04-10,2020-02-11,2020-02-12,2020-02-14,2020-02-19,2020-02-14,2020-02-13,2020-03-20,2020-04-14,2020-04-29,2020-04-15,,,,2020-02-24,2020-03-03,2020-02-26,2020-03-05,2020-03-10,2020-03-07,2020-03-10,2020-03-27,2020-03-09,2020-01-31,2020-03-01,,,
E040,S003,false,Remote HR Assistant,Remote,2020-01-10,,2020-01-30,2020-01-31,2020-02-02,2020-02-13,2020-02-04,,,,,2020-02-01,2020-02-07,2020-01-31,,,2020-04-27,2020-05-11,2020-04-29,,,,2020-02-11,2020-02-17,2020-02-11,2020-02-21,2020-03-01,2020-02-21,2020-02-26,2020-03-08,2020-02-24,2020-02-01,2020-03-02,,,
E041,S001,false,Remote Sales Associate,Remote,2020-01-02,,2020-01-24,2020-01-26,2020-01-26,2020-02-02,2020-02-12,,2020-02-28,2020-02-01,2020-02-08,2020-02-10,2020-03-01,2020-02-12,2020-02-14,2020-03-15,2020-04-03,2020-04-12,2020-04-02,,,,2020-02-20,2020-03-09,2020-02-20,2020-03-01,2020-03-07,2020-02-28,2020-03-06,2020-03-24,2020-03-07,2020-01-26,2020-02-25,,,
E042,S004,false,Remote Contractor,Remote,2019-12-10,2019-12-20,2020-01-09,,,,,,,2020-01-09,2020-01-19,2020-01-21,2020-02-09,2020-01-21,,,,,,,,,2020-01-31,2020-02-07,2020-02-02,2020-02-10,2020-02-24,2020-02-09,2020-02-15,2020-03-01,2020-02-17,2020-01-11,2020-02-10,,,
E043,S001,false,Remote Sales Associate,Remote,2019-12-14,,2020-01-11,2020-01-13,2020-01-15,2020-01-19,2020-01-28,,2020-04-10,2020-01-24,2020-01-27,2020-01-29,2020-02-08,2020-01-31,2020-01-26,2020-02-13,2020-03-03,2020-03-21,2020-03-04,,,,2020-02-08,2020-02-23,2020-02-06,2020-02-18,2020-03-09,2020-02-16,2020-02-23,2020-03-13,2020-02-24,2020-01-13,2020-02-12,,,
E044,S002,false,Remote Tech Support,Remote,2019-12-19,,2020-01-18,2020-01-19,2020-01-20,2020-01-24,2020-01-29,,2020-01-20,,,2020-01-20,2020-02-07,2020-01-21,2020-01-27,,,,,,,,2020-01-30,2020-02-17,2020-01-31,2020-02-09,2020-02-14,2020-02-11,2020-02-14,2020-02-20,2020-02-13,2020-01-20,2020-02-19,,,
E045,S003,false,Remote HR Assistant,Remote,2019-12-30,,2020-01-29,2020-01-30,2020-02-02,2020-02-18,2020-02-04,,,,,2020-01-31,2020-02-07,2020-02-01,,,2020-04-19,2020-04-29,2020-04-21,,,,2020-02-10,2020-02-18,2020-02-11,2020-02-20,2020-03-05,2020-02-21,2020-02-25,2020-03-14,2020-02-26,2020-01-31,2020-03-01,,,
E046,S001,false,Remote Sales Associate,Remote,2019-12-21,,2020-01-12,2020-01-13,2020-01-15,2020-01-20,2020-01-24,,2020-02-25,2020-01-19,2020-01-28,2020-01-30,2020-02-15,2020-01-31,2020-01-27,2020-02-16,2020-03-25,2020-04-08,2020-03-26,,,,2020-02-09,2020-02-25,2020-02-10,2020-02-19,2020-03-10,2020-02-20,2020-02-24,2020-02-29,2020-02-26,2020-01-14,2020-02-13,,,
E047,S004,false,Remote Contractor,Remote,2020-01-06,2020-01-07,2020-01-26,,,,,,,2020-01-31,2020-02-01,2020-02-03,2020-02-18,2020-02-03,,,,,,,,,2020-02-13,2020-02-22,2020-02-14,2020-02-23,2020-03-09,2020-02-22,2020-02-28,2020-03-16,2020-02-29,2020-01-28,2020-02-27,,,
E048,S004,false,Remote Contractor,Remote,2019-12-29,2020-01-13,2020-01-28,,,,,,,2020-01-31,2020-02-03,2020-02-05,2020-02-13,2020-02-04,,,,,,,,,2020-02-15,2020-02-25,2020-02-17,2020-02-25,2020-03-02,2020-02-25,2020-03-01,2020-03-06,2020-03-01,2020-01-30,2020-02-29,,,
E049,S003,false,Remote HR Assistant,Remote,2019-12-31,,2020-01-27,2020-01-28,2020-01-30,2020-02-16,2020-02-02,,,,,2020-01-29,2020-02-13,2020-01-30,,,2020-04-08,2020-04-13,2020-04-08,,,,2020-02-08,2020-02-21,2020-02-10,2020-02-18,2020-03-09,2020-02-16,2020-02-23,2020-03-08,2020-02-24,2020-01-29,2020-02-28,,,
E999,GHOST,true,Remote Contractor,Remote,2019-12-27,,2020-01-15,2020-01-17,,2020-01-19,2020-01-20,2020-01-21,2020-01-18,2020-01-22,2020-01-23,2020-01-25,2020-01-25,2020-01-25,2020-01-24,2020-02-10,2020-02-05,2020-02-05,2020-02-05,2020-02-15,2020-02-15,2020-02-15,2020-02-17,2020-02-17,2020-02-17,2020-02-27,2020-02-27,2020-02-27,2020-03-05,2020-03-05,2020-03-05,2020-02-16,2020-01-17,2020-03-20,2020-03-20,2020-03-20
